run_id,turns,final_filled_field_fraction,auc_filled_field_fraction,final_cosine_similarity,auc_cosine_similarity,final_score_gpt4o,auc_score_gpt4o,final_score_llama3-70b,auc_score_llama3-70b
run_20251124_222847,5,0.15625,0.1375,0.1775440315250307,0.1736974276718683,0.46875,0.465625,0.5,0.490625
run_20251124_234657,5,0.125,0.140625,0.1559880273416638,0.17476696052472104,0.15625,0.328125,0.21875,0.353125
run_20251126_171636,5,0.15625,0.165625,0.18359980997047382,0.19313067313923962,0.46875,0.540625,0.4375,0.553125
run_20251126_172658,5,0.03125,0.1375,0.12679570441832763,0.18881864571158072,0.15625,0.5,0.15625,0.509375
run_20251126_195954,5,0.09375,0.134375,0.14242944476427508,0.16765678231604392,0.28125,0.375,0.28125,0.44375
run_20251127_030334,15,0.5,0.528125,0.3573911009298172,0.40235517669061666,1.34375,1.6875,1.4375,1.8125
run_20251128_002029,15,0.5,0.55,0.34228379494743416,0.421114846560522,1.5,2.065625,1.6875,2.25
run_20251129_010254,15,0.53125,0.51875,0.38186665170360357,0.41897929315455257,1.875,1.95,2.09375,2.15625
run_20251201_170956,15,0.5,0.528125,0.3573911009298172,0.40235517669061666,1.34375,1.671875,1.46875,1.8125
run_20251201_203354,15,0.5,0.48125,0.35189960853313096,0.40373568896902723,1.625,1.828125,1.71875,1.95
run_20251220_001851,25,0.625,0.671875,0.4664248272893019,0.5725570935406722,2.46875,3.0875,2.625,3.2375
run_20251221_221949,25,0.65625,0.69375,0.5011183562455699,0.5673536746762693,2.65625,2.99375,2.8125,3.215625
run_20251221_222422,25,0.65625,0.73125,0.500711574597517,0.6073355136250029,2.6875,3.225,2.90625,3.45
run_20251222_002907,25,0.5625,0.703125,0.4443417704897001,0.5805780854192563,2.40625,3.153125,2.65625,3.321875
run_20251222_224452,25,0.625,0.740625,0.4601047520991415,0.584299123637902,2.34375,3.01875,2.75,3.328125
